Locality,Total Restaurants,Average Rating,Average Price Range
"Star City Mall, Mayur Vihar Phase 1",7,2.9857142857142853,2.142857142857143
Waikiki,7,4.314285714285715,2.4285714285714284
"Huda City Centre Metro Station, Sector 29, Gurgaon",7,3.557142857142857,1.8571428571428572
"The Claridges, Aurangzeb Road",7,3.7142857142857144,3.857142857142857
"Kollupitiya, Colombo 03",7,3.914285714285714,2.857142857142857
Sector 8,7,2.5285714285714285,1.2857142857142858
"Global Foyer Mall, Golf Course Road",7,3.642857142857143,2.7142857142857144
"MSX Mall, Greater Noida",7,2.6,1.2857142857142858
"Sangam Courtyard, RK Puram",7,3.871428571428571,3.2857142857142856
Chander Nagar,7,3.085714285714286,1.2857142857142858
Balmatta,7,3.7142857142857144,2.2857142857142856
CIDCO,7,3.3285714285714287,2.2857142857142856
India Gate,6,1.6833333333333333,1.1666666666666667
"Hyatt Regency, Bhikaji Cama Place",6,3.8000000000000003,3.8333333333333335
"Radisson Blu Plaza Delhi, Mahipalpur",6,3.9499999999999997,3.6666666666666665
Sector 25,6,2.0166666666666666,1.5
Okhla Phase 2,6,2.1166666666666667,1.6666666666666667
Indiranagar,6,4.316666666666666,3.0
"Hotel The Royal Plaza, Janpath",6,3.4166666666666665,4.0
Sector 19,6,2.1166666666666667,1.5
Downtown,6,4.2,2.3333333333333335
Gainesville,6,4.333333333333333,1.6666666666666667
"District Centre, Janakpuri",6,2.9499999999999997,2.0
"ITC Maurya, Chanakyapuri",6,3.733333333333333,3.6666666666666665
Sector 65,6,1.0,1.3333333333333333
"Le Meridien, Janpath",6,3.6666666666666665,4.0
Sector 47,6,1.0666666666666667,1.3333333333333333
"MGM Club, Daryaganj",6,0.5333333333333333,3.5
Asa Sul,6,2.966666666666667,2.8333333333333335
"The Ashok, Chanakyapuri",6,3.5333333333333337,3.5
C Scheme,6,4.233333333333333,2.6666666666666665
"Shopping Mall, DLF Phase 1",6,3.3666666666666667,1.3333333333333333
Charmwood Village,6,1.4666666666666668,1.0
Wazirpur,6,2.033333333333333,1.0
Sector 9,6,1.2166666666666668,1.6666666666666667
"MGF Metropolis Mall, MG Road",6,3.1999999999999997,1.6666666666666667
Lalpur,6,3.4499999999999997,1.6666666666666667
Greater Kailash (GK) 3,5,3.4200000000000004,2.0
Pensacola Beach,5,4.0600000000000005,2.8
Bajaj Nagar,5,3.8599999999999994,1.6
"DT Mega Mall, DLF Phase 1",5,3.3600000000000003,2.2
"Main Market, Sarabha Nagar",5,4.08,2.6
"Eros Hotel, Nehru Place",5,3.72,3.4
Bettendorf,5,4.220000000000001,2.0
"Ansal Plaza Mall, Greater Noida",5,2.52,1.8
Uzan Bazaar,5,4.02,2.0
Arera Colony,5,3.94,1.6
"Jaypee Vasant Continental, Vasant Vihar",5,3.4,3.6
"Shangri La's - Eros hotel, Janpath",5,3.88,4.0
"Spark Mall, Kamla Nagar",5,3.3200000000000003,1.6
Indirapuram,5,2.66,1.2
"Tulip Mall, Sector 48, Noida",5,0.52,1.6
Sector 3,5,1.94,1.2
Bodakdev,5,4.34,2.4
Sector 33,5,1.92,1.0
"Unity One Mall, Janakpuri",5,3.2600000000000002,1.4
"Unitech Cyber Park, Sector 39, Gurgaon",5,2.06,1.6
Hyde Park,5,4.26,3.0
"D Mall, Netaji Subhash Place",5,3.4799999999999995,2.2
"DLF City Centre Mall, Shalimar Bagh",5,2.58,1.4
"Elante Mall, Chandigarh Industrial Area",5,4.12,3.0
"Aggarwal City Plaza, Rohini",5,3.04,1.8
DLF Cyber City,5,3.46,2.4
Rajpur,5,4.18,3.4
"Cross River Mall, Karkardooma",5,3.3200000000000003,2.0
Lahaina,5,4.36,2.0
Ranjit Avenue,5,3.56,2.0
Sector 49,5,1.94,1.2
Winter Park,5,4.26,2.4
Peelamedu,5,3.9200000000000004,2.2
Sector 52,5,1.22,1.2
Moti Bagh,5,3.18,1.6
"JMD Kohinoor Mall, Greater Kailash",5,3.38,1.6
Sector 61,5,1.3,1.2
Maharana Pratap Nagar,5,3.84,2.0
"The Leela Palace, Chanakyapuri",5,3.78,4.0
"MGF Metropolitan Mall, Saket",5,3.6399999999999997,3.4
Sector 26,5,3.0799999999999996,2.0
Sector 30,5,3.04,2.0
Golambar,4,3.425,2.0
Ballygunge,4,4.325,3.0
Northern Quarter,4,4.275,2.75
"The Taj Palace Hotel, Chanakyapuri",4,3.8,3.75
Nirala Bazar,4,3.425,2.0
New Town,4,4.025,3.25
Koregaon Park,4,4.25,2.5
Ashok Nagar,4,3.85,2.5
Park Street Area,4,4.225,2.75
Panchsheel Park,4,3.525,1.75
Helen,4,3.475,1.75
Zoo Tiniali,4,4.225,2.25
"Aditya Mega Mall, Karkardooma",4,3.275,2.25
"Park Plaza, Sushant Lok",4,3.5,3.75
Aerocity,4,1.6,2.0
West Patel Nagar,4,3.675,1.25
Kihei,4,4.35,2.5
Leith,4,4.55,3.25
Piplod,4,4.05,3.0
Vesu,4,3.6,2.75
"Ansal Plaza Mall, Palam Vihar",4,2.25,1.0
"MGF Mega City Mall, MG Road",4,3.65,3.0
Asa Norte,4,3.575,2.0
"The Suryaa New Delhi, New Friends Colony",4,3.425,3.5
Mall Road,4,3.925,2.0
"Centre Stage Mall, Sector 18",4,3.1,3.25
"Crescent Square Mall, Rohini",4,3.15,2.25
Sikandarpur,4,0.0,1.0
Evans,4,4.075,2.0
Christian Basti,4,4.275,3.25
Satpur,4,3.425,2.5
"Cinnamon Gardens, Colombo 07",4,3.825,3.0
"Jaypee Greens Golf & Spa Resort, Surajpur",4,3.25,3.25
Panaji,4,4.475,3.5
INA,4,2.4,1.5
Sector 5,4,2.525,1.0
ITO,4,3.25,1.25
Brahmaputra Shopping Complex,4,3.525,1.0
I-Drive/Universal,4,4.475,3.5
Downtown St Petersburg,4,4.225,2.0
Mandi House,4,1.625,1.25
Delhi Cantt.,4,0.0,1.25
Dahlonega,4,4.05,1.5
The Leela Ambience Convention Hotel,4,3.775,4.0
Karak�_y,4,4.4,2.5
DLF Phase 5,4,3.675,1.25
NIT,4,0.0,1.5
Chandrasekharpur,4,4.25,2.25
Sector 46,4,2.3,1.5
"Crown Plaza Mall, Sector 15, Faridabad",4,2.925,1.75
Fraser Road Area,4,3.475,2.75
"Hong Kong Bazaar Mall, Sector 57, Gurgaon",3,3.0,1.6666666666666667
Itaim Bibi,3,2.8333333333333335,3.0
Mt Eden,3,4.166666666666667,3.0
Lanka,3,3.4,2.6666666666666665
Ipanema,3,4.7,3.6666666666666665
Jakhan,3,4.3999999999999995,3.0
"Leisure Inn, Sector 14, Gurgaon",3,3.0,3.0
"Le Meridien Gurgaon, MG Road",3,3.6999999999999997,3.6666666666666665
"Hotel Saffron Kiran, Faridabad",3,0.0,3.0
Jardim Paulista,3,3.733333333333333,4.0
Omaxe Gurgaon Mall,3,3.3666666666666667,1.6666666666666667
Karampura,3,3.533333333333333,1.3333333333333333
"Maidens Hotel, Civil Lines",3,3.1333333333333333,4.0
Kapitolyo,3,4.633333333333334,3.0
Malad West,3,4.333333333333333,2.3333333333333335
Kanka,3,3.266666666666667,1.6666666666666667
Kalyani Nagar,3,4.2,3.0
Kakkanad,3,3.8000000000000003,2.0
"Marina Centre, Downtown Core",3,3.5666666666666664,3.6666666666666665
Kadri,3,3.6999999999999997,2.6666666666666665
"Hotel Golf View, Sector 37, Noida",3,1.0,3.3333333333333335
Najda,3,4.1000000000000005,2.6666666666666665
INA Colony,3,3.5,1.6666666666666667
Kacheripady,3,4.066666666666666,2.0
"Metro Walk Mall, Rohini",3,3.1333333333333333,2.6666666666666665
Lower Parel,3,4.133333333333334,2.6666666666666665
Jayalakhsmipuram,3,3.8333333333333335,2.6666666666666665
New Palasia,3,4.033333333333334,2.6666666666666665
Lodipur,3,3.4,2.6666666666666665
Koramangala 5th Block,3,4.5,2.3333333333333335
Hindpiri,3,3.5666666666666664,1.3333333333333333
Lalbagh,3,3.966666666666667,2.3333333333333335
Panampilly Nagar,3,4.033333333333333,2.0
"The Dubai Mall,Downtown Dubai",3,4.066666666666666,3.0
Bhelupur,3,3.5,2.3333333333333335
"Taj Vivanta, Khan Market",3,3.6333333333333333,4.0
TT Nagar,3,4.0,2.3333333333333335
"TDI Mall, Rajouri Garden",3,3.5,2.3333333333333335
Swaroop Nagar,3,3.6999999999999997,2.3333333333333335
Britomart,3,4.566666666666666,2.3333333333333335
Brooklyn,3,4.3999999999999995,4.0
"Bullring Shopping Centre, Southside",3,3.8333333333333335,2.3333333333333335
CBD,3,4.1000000000000005,2.6666666666666665
Sri Krishnapuri,3,3.3333333333333335,2.0
Spinningfields,3,4.333333333333333,2.6666666666666665
Hazratganj,3,4.166666666666667,2.3333333333333335
Sitabuldi,3,3.7000000000000006,3.0
Chamrajpura,3,3.6666666666666665,2.3333333333333335
"Sheraton New Delhi Hotel, Saket",3,4.066666666666666,4.0
Seminole Heights,3,4.433333333333334,2.3333333333333335
City Light,3,4.133333333333333,2.3333333333333335
"City Square Mall, Rajouri Garden",3,3.1666666666666665,3.3333333333333335
Sector 60,3,0.0,1.3333333333333333
Sector 57,3,2.0,1.3333333333333333
Copacabana,3,4.466666666666667,3.3333333333333335
"The Bristol Hotel, DLF Phase 1",3,3.1666666666666665,4.0
"Bellagio, Ashok Vihar Phase 2",3,3.3000000000000003,3.0
Sector 42,3,0.0,1.3333333333333333
"The Park, Connaught Place",3,3.4666666666666663,4.0
�guas Claras,3,3.6666666666666665,3.6666666666666665
Abu Shagara,3,3.933333333333333,3.3333333333333335
Adajan Gam,3,3.933333333333333,2.6666666666666665
"Aggarwal City Mall, Pitampura",3,3.033333333333333,2.3333333333333335
Agra Cantt,3,3.6666666666666665,2.3333333333333335
White Avenue,3,3.7999999999999994,2.0
Wellington Central,3,4.033333333333333,4.0
Waterkloof,3,4.166666666666667,3.0
Al Majaz,3,4.033333333333333,3.3333333333333335
Velachery,3,4.5,2.6666666666666665
Anand Wali Goan,3,3.6666666666666665,3.0
Anjuna,3,4.566666666666666,3.6666666666666665
University City,3,4.166666666666667,3.3333333333333335
Asaf Ali Road,3,2.033333333333333,1.3333333333333333
Athwa,3,4.033333333333334,2.3333333333333335
Uday Park,3,3.733333333333333,2.0
"Two Horizon Center, Golf Course Road",3,3.6666666666666665,3.0
Baga,3,4.1000000000000005,4.0
"The Westin Gurgaon, Sector 29",3,3.8666666666666667,4.0
"The Village Restaurant Complex, Khel Gaon Marg",3,3.8333333333333335,3.3333333333333335
"The Uppal, Aerocity",3,3.0666666666666664,3.3333333333333335
"DB City, Maharana Pratap Nagar",3,4.033333333333333,2.6666666666666665
Calhoun,3,4.166666666666667,1.6666666666666667
"SM Megamall, Ortigas, Mandaluyong City",3,4.7,3.6666666666666665
Parkhurst,3,4.066666666666666,4.0
"Roseate House, Aerocity",3,2.1666666666666665,3.6666666666666665
"Fun City Mall, Prashant Vihar",3,0.0,1.3333333333333333
Gurdev Nagar,3,3.9,2.6666666666666665
Ringgold,3,4.2,1.0
Gokulam,3,3.6333333333333333,2.0
"Raheja Mall, Sohna Road",3,2.8333333333333335,2.0
Green Point,3,3.733333333333333,3.3333333333333335
Fort Oglethorpe,3,4.366666666666666,1.6666666666666667
Essex Farms,3,3.5,2.3333333333333335
"Pride Plaza Hotel, Aerocity",3,1.0333333333333334,3.3333333333333335
"Parsavnath City Mall, Sector 12, Faridabad",3,2.0,1.6666666666666667
Sector 20,3,1.8666666666666665,1.3333333333333333
"Harsha Mall, Greater Noida",3,2.9,1.6666666666666667
Hathibarkala Salwala,3,4.0,3.3333333333333335
Gazi Osman Pa��a,3,4.466666666666667,3.6666666666666665
"Park Plaza Hotel, Sector 55, Noida",3,3.5666666666666664,3.3333333333333335
Dharampeth,3,3.9333333333333336,2.0
Dashaswmedh Road,3,3.6666666666666665,1.6666666666666667
Flowery Branch,3,4.066666666666666,2.0
Pragati Maidan,2,3.9,2.0
"Upper St Martin's Lane, Covent Garden",2,4.5,2.5
Usmanpura,2,3.3,2.0
"Premier Inn, Shalimar Bagh",2,3.05,4.0
Umm Ghuwailina,2,4.2,4.0
Sector 4,2,1.65,1.5
Ulubari,2,4.25,3.5
Nungambakkam,2,4.4,3.0
"Logix Cyber Park, Sector 62, Noida",2,0.0,1.0
RS Puram,2,4.25,2.5
Madhapur,2,4.3,2.5
"The Westin Sohna Resort & Spa, Sohna Road",2,3.55,4.0
Maharani Peta,2,3.6500000000000004,2.0
"Radisson Blu, Paschim Vihar",2,3.2,4.0
"Trident, Udyog Vihar",2,3.4,4.0
Vastrapur,2,3.95,2.5
V & A Waterfront,2,3.9499999999999997,4.0
Oxford Road,2,3.5,2.0
"ibis New Delhi, Aerocity",2,1.55,2.0
"World Trade Center Mall, Al Markaziya",2,4.45,4.0
Lava Hot Springs,2,3.6,1.0
